date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,51.00,6.93,4.03,40.00,6.93,51.00,10.51,66.00,72.32,57.02,39.20,73.04,42.80,2.00,3.00,3.00,112.10,108.14,,,58.64,2012/04/08 09:56:21,2012/04/08 09:59:35,29.00,,,
2016/04/14 19:10:00,72.00,4.70,7.83,90.00,4.70,72.00,13.20,102.00,73.22,57.56,40.10,73.40,42.80,2.00,3.00,3.00,109.22,107.42,,,58.64,2012/04/08 09:56:21,2012/04/08 09:59:35,30.00,,,
2016/04/14 19:20:00,41.00,4.25,4.70,20.00,4.25,41.00,12.53,56.00,72.14,56.84,39.02,73.40,42.80,2.00,3.00,3.00,111.02,107.42,,,58.82,2012/04/08 09:56:21,2012/04/08 09:59:35,30.00,,,
2016/04/14 19:30:00,309.00,2.91,2.46,45.00,2.91,309.00,12.08,77.00,72.50,57.02,39.74,73.40,42.80,2.00,3.00,3.00,112.10,106.88,,,58.82,2012/04/08 09:56:21,2012/04/08 09:59:35,30.00,,,
2016/04/14 19:40:00,56.00,5.82,7.16,55.00,5.82,56.00,11.63,61.00,72.68,57.38,40.28,73.40,42.80,2.00,3.00,3.00,110.30,106.34,,,59.00,2012/04/08 09:56:21,2012/04/08 09:59:35,30.00,,,
2016/04/14 19:50:00,41.00,3.36,3.80,75.00,3.36,41.00,11.86,42.00,73.22,57.56,40.64,73.40,42.80,2.00,3.00,3.00,110.48,107.24,,,59.00,2012/04/08 09:56:21,2012/04/08 09:59:35,30.00,,,
2016/04/14 20:00:00,35.00,7.61,6.26,20.00,7.61,35.00,9.17,92.00,73.76,58.10,41.18,74.30,42.80,2.00,3.00,3.00,109.94,106.52,,,59.00,2012/04/08 09:56:21,2012/04/08 09:59:35,30.00,,,
2016/04/14 20:10:00,120.00,2.68,6.26,85.00,2.68,120.00,10.51,102.00,73.94,58.28,41.54,74.30,42.80,2.00,3.00,3.00,108.32,105.80,,,59.18,2012/04/08 09:56:21,2012/04/08 09:59:35,31.00,,,
2016/04/14 20:20:00,36.00,8.72,8.28,55.00,8.72,36.00,12.53,45.00,72.68,57.38,40.28,74.30,42.80,2.00,3.00,3.00,107.06,104.54,,,59.18,2012/04/08 09:56:21,2012/04/08 09:59:35,30.00,,,
2016/04/14 20:30:00,83.00,5.82,6.04,50.00,5.82,83.00,12.75,34.00,73.58,58.10,41.18,74.30,42.80,2.00,3.00,3.00,106.52,104.54,,,59.18,2012/04/08 09:56:21,2012/04/08 09:59:35,31.00,,,
