date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/03/31 08:00:00,197.00,16.55,18.79,185.00,14.32,185.00,24.83,177.00,57.56,56.66,55.94,67.82,40.64,2.00,5.00,5.00,55.40,55.40,,,2011/03/01 01:57:12,,94.00,2011/03/01 02:03:31,,,
2016/03/31 08:10:00,194.00,13.65,16.33,185.00,12.75,182.00,26.62,178.00,57.74,56.66,55.76,67.82,40.64,1.00,5.00,5.00,55.58,55.58,,,2011/03/01 02:14:16,,93.00,2011/03/01 02:03:31,,,
2016/03/31 08:20:00,179.00,19.01,13.42,190.00,19.01,179.00,26.40,160.00,57.56,56.84,56.30,67.82,40.64,1.00,5.00,5.00,55.40,55.40,,,2011/03/01 02:19:49,,95.00,2011/03/01 02:19:22,,,
2016/03/31 08:30:00,199.00,12.08,13.65,185.00,12.08,199.00,22.59,194.00,57.74,56.84,56.30,67.82,40.64,2.00,5.00,5.00,55.40,55.40,,,2011/03/01 02:19:49,,94.00,2011/03/01 02:27:47,,,
2016/03/31 08:40:00,201.00,11.63,15.66,185.00,11.63,201.00,22.59,171.00,57.92,56.84,56.12,67.82,40.64,2.00,5.00,5.00,55.40,55.40,,,2011/03/01 02:19:49,,94.00,2011/03/01 02:27:47,,,
2016/03/31 08:50:00,196.00,15.43,12.53,185.00,15.43,183.00,23.26,188.00,57.92,57.20,56.66,67.82,40.64,1.00,5.00,5.00,55.40,55.40,,,2011/03/01 02:54:51,,95.00,2011/03/01 02:27:47,,,
2016/03/31 09:00:00,193.00,8.05,12.97,180.00,13.87,210.00,20.36,172.00,58.10,57.38,56.84,67.82,41.00,1.00,5.00,5.00,55.76,55.58,,,2011/03/01 03:03:25,,96.00,2011/03/01 02:56:53,,,
2016/03/31 09:10:00,208.00,10.07,11.63,180.00,10.07,208.00,22.15,209.00,57.92,57.56,57.20,67.82,41.00,1.00,5.00,5.00,55.94,55.76,,,2011/03/01 03:14:11,,97.00,2011/03/01 03:10:17,,,
2016/03/31 09:20:00,186.00,13.42,15.21,195.00,13.42,186.00,22.15,193.00,58.10,57.56,57.20,67.82,41.00,2.00,5.00,5.00,56.12,55.94,,,2011/03/01 03:14:11,,96.00,2011/03/01 03:17:07,,,
2016/03/31 09:30:00,196.00,13.87,14.99,195.00,13.87,196.00,25.72,178.00,58.64,57.74,57.02,67.82,41.00,2.00,5.00,5.00,56.30,56.30,,,2011/03/01 03:34:29,,94.00,2011/03/01 03:36:26,,,
2016/03/31 09:40:00,167.00,18.12,16.78,185.00,18.12,148.00,23.94,194.00,58.82,57.92,57.38,67.82,41.00,2.00,5.00,5.00,56.30,56.30,,,2011/03/01 03:38:46,,95.00,2011/03/01 03:41:01,,,
