,Air Temperature °F,Avg. Wind Direction °,Avg. Wind Speed mph,Dew Point °F,Freeze Point #3 °F,Freeze Point 1 °F,Freeze Point 2 °F,Freeze Point Approach °F,Freeze Point Bridge A °F,Freeze Point Bridge [index],Freeze Point Bridge °F,Freeze Point °F,Freezing Temp. Approach °F,Freezing Temperature Approach °F,Freezing Temperature °F,Friction Approach N/A,Friction Bridge N/A,Friction N/A,Gust Wind Direction °,Gust Wind Speed mph,Max Air Temperature °F,Min Air Temperature °F,Precipitation End Time timestamp,Precipitation Situation [logic],Precipitation Start Time timestamp,Precipitation Yes/No [logic],Rel. Humidity %,Road Condition # 3 [logic],Road Condition 1 [logic],Road Condition 2 [logic],Road Condition Approach [logic],Road Condition Bridge A [logic],Road Condition Bridge [logic],Road Condition [logic],Road Temp #3 °F,Road Temp Bridge °F,Road Temp. 1 °F,Road Temp. 2 °F,Road Temp. Approach °F,Road Temp. Bridge A °F,Road Temp. Bridge °F,Road Temperature Approach °F,Road Temperature Bridge °F,Saline Concentration %,Saline Concentration Approach %,Saline Concentration Bridge  %,Saline Concentration Bridge %,Saline Concentration Bridge [rate],Spot Wind Direction °,Sub Surface Temperature °F,SubSurface Temperature °F,Subsurface Temperature  °F,Subsurface Temperature 1 °F,Subsurface Temperature Approach °F,Surface Salinity #3 %,Surface Salinity 1 %,Surface Salinity 2 %,Surface Salinity Approach %,Surface Salinity Bridge %,Surface Salinity Bridge A %,Surface Temperature Approach °F,Surface Temperature °F,Visibility m,Water Film  Approach mil,Water Film  mil,Water Film Approach mil,Water Film Height Approach mil,Water Film Height Bridge mil,WaterFilm Height Bridge mil,Wet Bulb Temperature °F,Wind Speed mph,date_time
,68.54,130.00,2.68,33.08,,,,,,,,,,,,,,,119.00,10.07,68.54,36.86,,,,2.00,26.00,,,,,,,,,,,,,,,,,,,,,,149.00,,,,,,,,,,,,,,,,,,,,,53.96,2.68,2016/04/14 19:00:00
,,,,,,,,,,,,,,,,0.82,0.82,,,,,,,,,,,,,,10.00,,10.00,,,,,,99.31,,85.70,,,,,,,,,,,,,54.40,,,,,,,,,,,,,0.00,0.00,,,,2016/04/14 19:01:00
,69.44,35.00,2.46,34.34,,,,,,,,,,,,0.82,0.82,,71.00,9.17,69.44,36.86,,,,2.00,27.00,,,,10.00,,10.00,,,,,,99.66,,82.76,,,,,,,,85.00,,,,,54.51,,,,,,,,,,,,,0.00,0.00,,54.68,4.70,2016/04/14 19:10:00
,68.90,165.00,2.24,33.26,,,,,,,,,,,,,,,66.00,12.75,69.44,36.86,,,,2.00,26.00,,,,,,,,,,,,,,,,,,,,,,192.00,,,,,,,,,,,,,,,,,,,,,54.14,1.34,2016/04/14 19:20:00
,,,,,,,,,,,,,,,,0.82,0.82,,,,,,,,,,,,,,10.00,,10.00,,,,,,99.63,,82.87,,,,,,,,,,,,,54.63,,,,,,,,,,,,,0.00,0.00,,,,2016/04/14 19:21:00
,68.72,95.00,3.13,32.36,,,,,,,,,,,,,,,70.00,10.29,69.44,36.86,,,,2.00,25.00,,,,,,,,,,,,,,,,,,,,,,186.00,,,,,,,,,,,,,,,,,,,,,53.96,0.89,2016/04/14 19:30:00
,,,,,,,,,,,,,,,,0.82,0.82,,,,,,,,,,,,,,10.00,,10.00,,,,,,99.73,,81.57,,,,,,,,,,,,,54.74,,,,,,,,,,,,,0.00,0.00,,,,2016/04/14 19:31:00
,69.08,80.00,2.91,32.36,,,,,,,,,,,,,,,101.00,11.41,69.44,36.86,,,,2.00,25.00,,,,,,,,,,,,,,,,,,,,,,87.00,,,,,,,,,,,,,,,,,,,,,54.14,4.03,2016/04/14 19:40:00
,,,,,,,,,,,,,,,,0.82,0.82,,,,,,,,,,,,,,10.00,,10.00,,,,,,100.04,,82.25,,,,,,,,,,,,,54.87,,,,,,,,,,,,,0.00,0.00,,,,2016/04/14 19:41:00
,70.16,125.00,4.25,32.00,,,,,,,,,,,,0.82,0.82,,86.00,9.62,70.16,36.86,,,,2.00,24.00,,,,10.00,,10.00,,,,,,99.71,,80.51,,,,,,,,106.00,,,,,54.99,,,,,,,,,,,,,0.00,0.00,,54.68,6.04,2016/04/14 19:50:00
,69.44,60.00,4.03,31.10,,,,,,,,,,,,,,,130.00,9.17,70.16,36.86,,,,2.00,24.00,,,,,,,,,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,,,,,,,,54.32,2.91,2016/04/14 20:00:00
,,,,,,,,,,,,,,,,0.82,0.82,,,,,,,,,,,,,,10.00,,10.00,,,,,,98.73,,80.35,,,,,,,,,,,,,55.12,,,,,,,,,,,,,0.00,0.00,,,,2016/04/14 20:01:00
,69.44,80.00,3.80,30.38,,,,,,,,,,,,,,,88.00,10.51,70.16,36.86,,,,2.00,23.00,,,,,,,,,,,,,,,,,,,,,,97.00,,,,,,,,,,,,,,,,,,,,,54.32,3.80,2016/04/14 20:10:00
,,,,,,,,,,,,,,,,0.82,0.82,,,,,,,,,,,,,,10.00,,10.00,,,,,,95.16,,80.27,,,,,,,,,,,,,55.26,,,,,,,,,,,,,0.00,0.00,,,,2016/04/14 20:11:00
,69.98,100.00,4.25,29.84,,,,,,,,,,,,,,,80.00,10.07,70.16,36.86,,,,2.00,22.00,,,,,,,,,,,,,,,,,,,,,,99.00,,,,,,,,,,,,,,,,,,,,,54.50,2.24,2016/04/14 20:20:00
,,,,,,,,,,,,,,,,0.82,0.82,,,,,,,,,,,,,,10.00,,10.00,,,,,,94.06,,80.34,,,,,,,,,,,,,55.39,,,,,,,,,,,,,0.00,0.00,,,,2016/04/14 20:21:00
,69.26,110.00,5.14,29.48,,,,,,,,,,,,,,,107.00,10.07,70.16,36.86,,,,2.00,22.00,,,,,,,,,,,,,,,,,,,,,,102.00,,,,,,,,,,,,,,,,,,,,,54.14,10.07,2016/04/14 20:30:00
,57.02,60.00,3.80,30.02,,,,,,,,,,,,0.82,,,80.00,8.50,57.92,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,35.00,,,,10.00,,,,,,,,,,,82.50,,,,,,,72.00,,,,58.27,,,,,,,,,,,,,0.00,,,,46.58,3.36,2016/04/14 19:01:00
,,45.00,4.47,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,,,,82.53,,,,,,,,,,,58.66,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:10:00
,57.56,,,29.48,,,,,,,,,,,,,,,58.00,8.28,58.46,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,34.00,,,,,,,,,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,,,,,,,,46.94,7.38,2016/04/14 19:11:00
,58.46,40.00,5.37,29.30,,,,,,,,,,,,0.82,,,44.00,8.28,58.64,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,32.00,,,,10.00,,,,,,,,,,,82.66,,,,,,,34.00,,,,59.08,,,,,,,,,,,,,0.00,,,,47.30,6.04,2016/04/14 19:21:00
,58.28,40.00,6.93,30.02,,,,,,,,,,,,0.82,,,36.00,10.29,58.82,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,33.00,,,,10.00,,,,,,,,,,,82.58,,,,,,,31.00,,,,59.47,,,,,,,,,,,,,0.00,,,,47.48,4.25,2016/04/14 19:31:00
,58.46,80.00,5.14,31.82,,,,,,,,,,,,0.82,,,37.00,11.41,58.82,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,36.00,,,,10.00,,,,,,,,,,,82.48,,,,,,,84.00,,,,59.83,,,,,,,,,,,,,0.00,,,,47.66,6.04,2016/04/14 19:41:00
,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,10.00,,,,,,,,,,,82.07,,,,,,,,,,,60.18,,,,,,,,,,,,,0.00,,,,,,2016/04/14 19:50:00
,57.92,60.00,6.26,30.74,,,,,,,,,,,,,,,32.00,9.62,59.00,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,35.00,,,,,,,,,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,,,,,,,,47.30,4.92,2016/04/14 19:51:00
,57.92,55.00,4.25,29.84,,,,,,,,,,,,0.82,,,59.00,9.17,59.00,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,34.00,,,,10.00,,,,,,,,,,,82.16,,,,,,,28.00,,,,60.53,,,,,,,,,,,,,0.00,,,,47.12,3.13,2016/04/14 20:01:00
,59.00,55.00,5.59,29.84,,,,,,,,,,,,0.82,,,29.00,9.84,59.72,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,32.00,,,,10.00,,,,,,,,,,,81.76,,,,,,,21.00,,,,60.85,,,,,,,,,,,,,0.00,,,,47.84,8.28,2016/04/14 20:11:00
,59.00,30.00,4.92,29.66,,,,,,,,,,,,,,,30.00,9.84,59.72,32.54,2016/04/13 19:19:16,,2016/04/13 19:15:17,2.00,32.00,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,47.84,7.38,2016/04/14 20:21:00
,60.44,115.00,9.17,29.48,,,,,,,,,,,,,,,63.00,15.43,60.98,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,30.00,,,,3.00,,,,,,,,93.38,,,,,,,,,,101.00,53.06,,,,,,,,,,,,,,,,,,,,48.56,9.62,2016/04/14 19:00:00
,60.44,100.00,8.05,29.48,,,,,,,,,,,,,,,94.00,16.33,60.98,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,30.00,,,,3.00,,,,,,,,93.38,,,,,,,,,,102.00,53.06,,,,,,,,,,,,,,,,,,,,48.56,7.38,2016/04/14 19:10:00
,61.34,100.00,10.07,30.02,,,,,,,,,,,,,,,77.00,17.90,61.52,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,30.00,,,,3.00,,,,,,,,93.38,,,,,,,,,,97.00,53.42,,,,,,,,,,,,,,,,,,,,49.28,12.97,2016/04/14 19:20:00
,61.52,110.00,8.72,30.02,,,,,,,,,,,,,,,105.00,14.76,61.88,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,30.00,,,,3.00,,,,,,,,94.46,,,,,,,,,,124.00,53.60,,,,,,,,,,,,,,,,,,,,49.28,5.82,2016/04/14 19:30:00
,62.06,130.00,8.50,30.38,,,,,,,,,,,,,,,113.00,15.88,62.24,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,30.00,,,,3.00,,,,,,,,94.10,,,,,,,,,,134.00,53.78,,,,,,,,,,,,,,,,,,,,49.64,9.62,2016/04/14 19:40:00
,62.24,130.00,6.71,31.10,,,,,,,,,,,,,,,132.00,13.65,62.60,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,30.00,,,,3.00,,,,,,,,93.38,,,,,,,,,,155.00,53.96,,,,,,,,,,,,,,,,,,,,49.82,6.49,2016/04/14 19:50:00
,62.06,120.00,10.07,30.92,,,,,,,,,,,,,,,115.00,14.99,63.14,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,30.00,,,,3.00,,,,,,,,92.48,,,,,,,,,,81.00,54.14,,,,,,,,,,,,,,,,,,,,49.82,9.62,2016/04/14 20:00:00
,62.24,90.00,10.51,31.46,,,,,,,,,,,,,,,85.00,14.54,63.14,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,31.00,,,,3.00,,,,,,,,91.94,,,,,,,,,,121.00,54.32,,,,,,,,,,,,,,,,,,,,50.00,8.95,2016/04/14 20:10:00
,62.96,110.00,7.16,32.00,,,,,,,,,,,,,,,132.00,14.54,63.14,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,31.00,,,,3.00,,,,,,,,91.76,,,,,,,,,,119.00,54.50,,,,,,,,,,,,,,,,,,,,50.54,7.83,2016/04/14 20:20:00
,63.14,125.00,7.38,32.18,,,,,,,,,,,,,,,136.00,16.78,63.32,34.88,2016/04/12 07:39:46,,2016/04/12 07:39:42,2.00,31.00,,,,3.00,,,,,,,,90.68,,,,,,,,,,129.00,54.68,,,,,,,,,,,,,,,,,,,,50.54,8.50,2016/04/14 20:30:00
,75.02,70.00,3.36,42.98,,,,,,,,,,,,,,,99.00,7.38,75.92,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,31.00,,,,3.00,,3.00,,,,,,100.04,,106.34,,,,,,,,0.00,,59.00,,,,,,,,,,,,,,,,,,,59.18,0.00,2016/04/14 19:00:00
,75.20,140.00,0.45,41.90,,,,,,,,,,,,,,,79.00,10.51,75.92,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,30.00,,,,3.00,,3.00,,,,,,101.30,,107.42,,,,,,,,0.00,,59.00,,,,,,,,,,,,,,,,,,,59.00,0.00,2016/04/14 19:10:00
,75.20,75.00,4.47,40.64,,,,,,,,,,,,,,,79.00,12.75,75.92,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,28.00,,,,3.00,,3.00,,,,,,100.22,,105.98,,,,,,,,73.00,,59.18,,,,,,,,,,,,,,,,,,,58.82,5.37,2016/04/14 19:20:00
,75.20,145.00,2.91,41.36,,,,,,,,,,,,,,,171.00,6.49,76.10,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,29.00,,,,3.00,,3.00,,,,,,100.58,,106.52,,,,,,,,146.00,,59.18,,,,,,,,,,,,,,,,,,,58.82,5.37,2016/04/14 19:30:00
,75.92,70.00,3.13,42.98,,,,,,,,,,,,,,,96.00,8.95,76.28,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,30.00,,,,3.00,,3.00,,,,,,100.58,,106.34,,,,,,,,118.00,,59.36,,,,,,,,,,,,,,,,,,,59.54,4.25,2016/04/14 19:40:00
,75.92,115.00,1.34,41.90,,,,,,,,,,,,,,,75.00,10.29,76.28,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,29.00,,,,3.00,,3.00,,,,,,100.58,,105.80,,,,,,,,116.00,,59.36,,,,,,,,,,,,,,,,,,,59.36,2.01,2016/04/14 19:50:00
,75.92,160.00,0.67,42.62,,,,,,,,,,,,,,,118.00,6.04,76.46,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,30.00,,,,3.00,,3.00,,,,,,100.94,,106.34,,,,,,,,0.00,,59.72,,,,,,,,,,,,,,,,,,,59.36,0.00,2016/04/14 20:00:00
,75.74,85.00,4.25,43.52,,,,,,,,,,,,,,,79.00,14.32,76.46,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,32.00,,,,3.00,,3.00,,,,,,99.68,,105.80,,,,,,,,123.00,,59.90,,,,,,,,,,,,,,,,,,,59.54,3.36,2016/04/14 20:10:00
,75.74,120.00,4.25,43.16,,,,,,,,,,,,,,,120.00,8.05,76.46,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,31.00,,,,3.00,,3.00,,,,,,100.04,,105.26,,,,,,,,128.00,,59.90,,,,,,,,,,,,,,,,,,,59.54,5.59,2016/04/14 20:20:00
,75.92,115.00,2.01,43.88,,,,,,,,,,,,,,,111.00,6.26,76.46,42.80,2016/04/11 18:59:11,,2016/04/11 18:56:59,2.00,32.00,,,,3.00,,3.00,,,,,,98.78,,105.08,,,,,,,,95.00,,60.08,,,,,,,,,,,,,,,,,,,59.54,3.80,2016/04/14 20:30:00
,70.70,85.00,8.05,39.38,,,,,,,,,,,,,,,84.00,14.09,71.60,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,31.00,,,,3.00,,3.00,,,,,,102.20,,103.64,,,,,,,,83.00,,60.26,,,,,,,,,,,,,,,,,,,56.12,12.30,2016/04/14 19:00:00
,71.96,10.00,1.57,40.10,,,,,,,,,,,,,,,50.00,12.08,71.96,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,31.00,,,,3.00,,3.00,,,,,,101.66,,103.82,,,,,,,,307.00,,60.44,,,,,,,,,,,,,,,,,,,56.84,0.89,2016/04/14 19:10:00
,71.24,40.00,3.36,40.46,,,,,,,,,,,,,,,61.00,11.63,72.32,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,32.00,,,,3.00,,3.00,,,,,,103.46,,104.72,,,,,,,,97.00,,60.62,,,,,,,,,,,,,,,,,,,56.66,4.70,2016/04/14 19:20:00
,70.88,90.00,6.71,41.00,,,,,,,,,,,,,,,97.00,10.96,72.50,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,34.00,,,,3.00,,3.00,,,,,,103.10,,104.54,,,,,,,,113.00,,60.62,,,,,,,,,,,,,,,,,,,56.48,8.95,2016/04/14 19:30:00
,71.78,0.00,8.72,40.28,,,,,,,,,,,,,,,13.00,12.30,72.50,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,31.00,,,,3.00,,3.00,,,,,,102.38,,104.36,,,,,,,,352.00,,60.80,,,,,,,,,,,,,,,,,,,56.84,7.38,2016/04/14 19:40:00
,71.60,70.00,3.58,41.00,,,,,,,,,,,,,,,35.00,8.95,72.50,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,32.00,,,,3.00,,3.00,,,,,,103.46,,105.08,,,,,,,,95.00,,60.80,,,,,,,,,,,,,,,,,,,56.84,3.13,2016/04/14 19:50:00
,72.50,115.00,3.58,45.14,,,,,,,,,,,,,,,80.00,11.18,72.50,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,35.00,,,,3.00,,Error,,,,,,102.92,,105.26,,,,,,,,158.00,,60.98,,,,,,,,,,,,,,,,,,,58.46,4.03,2016/04/14 20:00:00
,72.86,95.00,4.70,44.06,,,,,,,,,,,,,,,18.00,10.29,73.04,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,36.00,,,,3.00,,3.00,,,,,,101.66,,104.00,,,,,,,,94.00,,61.16,,,,,,,,,,,,,,,,,,,58.28,3.36,2016/04/14 20:10:00
,72.86,50.00,5.59,42.26,,,,,,,,,,,,,,,53.00,8.72,73.22,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,33.00,,,,3.00,,3.00,,,,,,101.30,,103.46,,,,,,,,38.00,,61.16,,,,,,,,,,,,,,,,,,,57.92,6.26,2016/04/14 20:20:00
,72.68,85.00,3.80,45.86,,,,,,,,,,,,,,,66.00,11.63,73.22,44.78,2016/04/11 18:17:40,,2016/04/11 18:15:42,2.00,38.00,,,,3.00,,3.00,,,,,,101.30,,103.28,,,,,,,,29.00,,61.34,,,,,,,,,,,,,,,,,,,58.64,6.26,2016/04/14 20:30:00
,68.90,45.00,6.93,31.28,,,,,,,,,,,,,,,68.00,15.21,68.90,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,24.00,,,,3.00,,3.00,,,,,,97.52,,97.88,,,,,,,,144.00,55.40,,,,,,,,,,,,,,,,,,,,53.96,1.79,2016/04/14 19:00:00
,68.90,130.00,9.62,31.28,,,,,,,,,,,,,,,122.00,16.55,69.44,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,24.00,,,,3.00,,3.00,,,,,,97.34,,97.88,,,,,,,,111.00,55.40,,,,,,,,,,,,,,,,,,,,53.78,9.62,2016/04/14 19:10:00
,68.90,80.00,10.51,30.92,,,,,,,,,,,,,,,53.00,14.54,69.44,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,24.00,,,,3.00,,3.00,,,,,,97.16,,97.52,,,,,,,,51.00,55.58,,,,,,,,,,,,,,,,,,,,53.96,13.65,2016/04/14 19:20:00
,69.98,95.00,7.61,32.00,,,,,,,,,,,,,,,29.00,14.32,69.98,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,24.00,,,,3.00,,3.00,,,,,,96.80,,97.34,,,,,,,,112.00,55.58,,,,,,,,,,,,,,,,,,,,54.68,6.93,2016/04/14 19:30:00
,68.90,65.00,8.50,30.74,,,,,,,,,,,,,,,59.00,11.86,70.52,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,24.00,,,,3.00,,3.00,,,,,,96.80,,96.62,,,,,,,,48.00,55.58,,,,,,,,,,,,,,,,,,,,53.96,6.93,2016/04/14 19:40:00
,69.80,75.00,9.62,30.92,,,,,,,,,,,,,,,75.00,14.32,70.52,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,23.00,,,,3.00,,3.00,,,,,,96.62,,96.62,,,,,,,,81.00,55.58,,,,,,,,,,,,,,,,,,,,54.32,12.30,2016/04/14 19:50:00
,70.88,75.00,2.91,31.82,,,,,,,,,,,,,,,115.00,10.51,70.88,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,23.00,,,,3.00,,3.00,,,,,,96.44,,96.44,,,,,,,,93.00,55.76,,,,,,,,,,,,,,,,,,,,55.22,3.80,2016/04/14 20:00:00
,71.06,105.00,3.58,31.82,,,,,,,,,,,,,,,113.00,10.74,71.06,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,23.00,,,,3.00,,3.00,,,,,,95.72,,95.90,,,,,,,,87.00,55.76,,,,,,,,,,,,,,,,,,,,55.40,1.57,2016/04/14 20:10:00
,70.70,125.00,5.37,31.64,,,,,,,,,,,,,,,84.00,10.29,71.24,37.94,2016/04/11 15:18:54,,2016/04/11 15:16:42,2.00,23.00,,,,3.00,,3.00,,,,,,94.82,,94.64,,,,,,,,75.00,55.94,,,,,,,,,,,,,,,,,,,,55.04,7.83,2016/04/14 20:20:00
,65.84,55.00,7.61,31.46,,,,,,,,,,,,,,,89.00,15.88,66.38,39.20,,,,2.00,27.00,,,,3.00,,3.00,,,,,,93.02,,88.34,,,,,,,,50.00,,54.86,,,,,,,,,,,,,,,,,,,52.16,7.38,2016/04/14 19:00:00
,65.48,90.00,11.18,30.56,,,,,,,,,,,,,,,93.00,18.34,66.38,39.20,,,,2.00,26.00,,,,3.00,,3.00,,,,,,93.20,,88.70,,,,,,,,91.00,,55.22,,,,,,,,,,,,,,,,,,,51.80,14.32,2016/04/14 19:10:00
,66.20,90.00,9.84,31.10,,,,,,,,,,,,,,,99.00,17.00,66.92,39.20,,,,2.00,26.00,,,,3.00,,3.00,,,,,,92.12,,88.16,,,,,,,,95.00,,55.40,,,,,,,,,,,,,,,,,,,52.34,7.38,2016/04/14 19:20:00
,66.74,70.00,9.40,30.74,,,,,,,,,,,,,,,99.00,18.79,67.64,39.20,,,,2.00,25.00,,,,3.00,,3.00,,,,,,92.84,,88.52,,,,,,,,91.00,,55.58,,,,,,,,,,,,,,,,,,,52.70,12.75,2016/04/14 19:30:00
,66.74,105.00,9.40,30.38,,,,,,,,,,,,,,,98.00,18.12,67.64,39.20,,,,2.00,25.00,,,,3.00,,3.00,,,,,,91.94,,88.52,,,,,,,,149.00,,55.58,,,,,,,,,,,,,,,,,,,52.52,5.82,2016/04/14 19:40:00
,67.10,110.00,8.95,29.84,,,,,,,,,,,,,,,98.00,15.66,67.64,39.20,,,,2.00,24.00,,,,3.00,,3.00,,,,,,92.30,,88.70,,,,,,,,99.00,,55.94,,,,,,,,,,,,,,,,,,,52.88,4.03,2016/04/14 19:50:00
